© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Date	Tue May 28 04:27:19 PDT 2019
Analysis ID	17865904

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Human OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	concentration	Concentration of oleoylethanolamide	9.46E-03	 	 	 	 	FAAH	1	
Embryonic Development, Organismal Development, Reproductive System Development and Function	implantation	Delay in implantation	9.46E-03	 	 	 	 	FAAH	1	
Cell Cycle, Cellular Development, Connective Tissue Development and Function	senescence	Delay in initiation of senescence of fibroblast cell lines	9.46E-03	 	 	 	 	LMNB1	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of germinal center B lymphocytes	9.46E-03	 	 	 	 	LCP1	1	
Cellular Development, Connective Tissue Development and Function, Tissue Development	differentiation	Differentiation of tenocyte	9.46E-03	 	 	 	 	BMP4	1	
Neurological Disease	epileptogenesis	Epileptogenesis	9.46E-03	 	 	 	 	S100B	1	
Energy Production, Molecular Transport, Nucleic Acid Metabolism, Small Molecule Biochemistry	flux	Flux of ATP	9.46E-03	 	 	 	 	SLC34A3	1	
Cancer, Gastrointestinal Disease, Hereditary Disorder, Organismal Injury and Abnormalities	hereditary mixed polyposis syndrome	Hereditary mixed polyposis syndrome	9.46E-03	 	 	 	 	SCG5	1	
Lipid Metabolism, Small Molecule Biochemistry	incorporation	Incorporation of docosahexaenoic acid	9.46E-03	 	 	 	 	CFTR	1	
Cell Morphology, Cellular Movement, Hair and Skin Development and Function, Nervous System Development and Function	innervation	Innervation of Merkel cells	9.46E-03	 	 	 	 	BMP4	1	
Cellular Movement	invasion	Invasion by Salmonella typhimurium SL1344	9.46E-03	 	 	 	 	Cdc42	1	
Cell Morphology, Hematological Disease, Hematological System Development and Function, Humoral Immune Response, Immunological Disease, Lymphoid Tissue Structure and Development, Tissue Morphology	lack	Lack of marginal-zone B lymphocytes	9.46E-03	 	 	 	 	TNFRSF13C	1	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	lack	Lack of thymus cortex	9.46E-03	 	 	 	 	RAG1	1	
Cellular Development, Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Development	maturation	Maturation of marginal-zone B lymphocytes	9.46E-03	 	 	 	 	LCP1	1	
Connective Tissue Disorders, Hematological Disease, Organismal Injury and Abnormalities	mild thrombocytopenia	Mild thrombocytopenia	9.46E-03	 	 	 	 	Cdc42	1	
Cellular Movement, Hematological System Development and Function, Humoral Immune Response, Immune Cell Trafficking	movement	Movement of pro-B lymphocytes	9.46E-03	 	 	 	 	LCP1	1	
Organismal Injury and Abnormalities	obstruction	Obstruction of lumen	9.46E-03	 	 	 	 	CFTR	1	
Embryonic Development, Organismal Development, Tissue Development	outgrowth	Outgrowth of metanephric bud	9.46E-03	 	 	 	 	BMP4	1	
Cell Cycle	quiescence	Quiescence of nervous tissue cell lines	9.46E-03	 	 	 	 	BMP4	1	
Organismal Development	regeneration	Regeneration of digit	9.46E-03	 	 	 	 	BMP4	1	
Cellular Function and Maintenance	rotation	Rotation of Nucleus	9.46E-03	 	 	 	 	LMNB1	1	
Cell Morphology, Cellular Assembly and Organization	size	Size of centrosome	9.46E-03	 	 	 	 	CFTR	1	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Tissue Morphology	size	Size of cervical lymph node	9.46E-03	 	 	 	 	RAG1	1	
Developmental Disorder, Hereditary Disorder, Immunological Disease, Metabolic Disease, Organismal Injury and Abnormalities	T-cell negative B-cell negative NK-cell positive autosomal recessive severe combined immunodeficiency	T-cell negative B-cell negative NK-cell positive autosomal recessive severe combined immunodeficiency	9.46E-03	 	 	 	 	RAG1	1	
Cellular Development	transdifferentiation	Transdifferentiation of pancreatic cancer cell lines	9.46E-03	 	 	 	 	INSM1	1	
Carbohydrate Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of sucrose	9.46E-03	 	 	 	 	SLC45A3	1	
Cellular Movement	cellular infiltration	Cellular infiltration	9.50E-03	 	-0.218	 	-0.527	RAG1,LMNB1,Cdc42,CFTR,S100B,Nbdy	6	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	differentiation	Differentiation of erythroid cells	9.69E-03	 	 	 	 	Cdc42,BMP4	2	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	morphology	Morphology of lymph follicle	9.86E-03	 	 	 	 	RAG1,TNFRSF13C,LCP1	3	
Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of pre-B lymphocytes	1.00E-02	 	 	 	 	RAG1,Cdc42,TNFRSF13C	3	
Endocrine System Disorders, Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	chronic pancreatitis	Chronic pancreatitis	1.01E-02	 	 	 	 	UCHL1,CFTR	2	
Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function, Tissue Development	outgrowth	Outgrowth of neurites	1.03E-02	 	1.109	bias	 	LMNB1,Cdc42,BMP4,NCAM2,SEMA5A	5	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of lipid	1.04E-02	 	 	 	 	Cdc42,CFTR,FAAH	3	
Molecular Transport	transport	Transport of anion	1.08E-02	 	 	 	 	CYB5R2,SLC34A3,CFTR	3	
Cell Death and Survival	apoptosis	Apoptosis of thymocytes	1.10E-02	 	 	 	 	RAG1,BMP4,Cdc42	3	
Embryonic Development, Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	formation	Formation of lymphoid tissue	1.17E-02	 	 	 	 	RAG1,SCG5,TNFRSF13C,ZBTB1,LCP1	5	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	development	Development of B lymphocytes	1.17E-02	 	 	 	 	RAG1,Cdc42,TNFRSF13C	3	
Cell Morphology, Cellular Assembly and Organization, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function, Organismal Development, Tissue Development	axonogenesis	Axonogenesis	1.20E-02	 	 	 	 	Cdc42,UCHL1,ATP8A2,S100B	4	
Embryonic Development, Nervous System Development and Function, Neurological Disease, Ophthalmic Disease, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Visual System Development and Function	abnormal morphology	Abnormal morphology of thin ganglion cell layer	1.26E-02	 	 	 	 	BMP4	1	
Cell Death and Survival	anoikis	Anoikis of cervical cancer cell lines	1.26E-02	 	 	 	 	UCHL1	1	
Cellular Compromise, Organismal Injury and Abnormalities	atrophy	Atrophy of acinar gland cells	1.26E-02	 	 	 	 	CFTR	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders, Skeletal and Muscular Disorders	juvenile Parkinson disease	Autosomal recessive juvenile Parkinson disease	1.26E-02	 	 	 	 	UCHL1	1	
Cardiovascular System Development and Function, Digestive System Development and Function, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	bile duct proliferation	Bile duct proliferation	1.26E-02	 	 	 	 	CFTR	1	
Embryonic Development, Organismal Development, Respiratory System Development and Function	development	Bronchial development	1.26E-02	 	 	 	 	BMP4	1	
Cardiovascular System Development and Function, Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization	cell-cell adhesion	Cell-cell adhesion of endothelial cell lines	1.26E-02	 	 	 	 	LGALS2	1	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Respiratory System Development and Function	cell-cell adhesion	Cell-cell adhesion of lung cell lines	1.26E-02	 	 	 	 	LGALS2	1	
Cell-mediated Immune Response, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response, Lymphoid Tissue Structure and Development	chemotaxis	Chemotaxis of peripheral T lymphocyte	1.26E-02	 	 	 	 	LCP1	1	
RNA Post-Transcriptional Modification	cleavage	Cleavage of mRNA	1.26E-02	 	 	 	 	POLR2A	1	
Embryonic Development, Organismal Development, Tissue Development, Tissue Morphology	closure	Closure of optic fissure	1.26E-02	 	 	 	 	BMP4	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry, Vitamin and Mineral Metabolism	concentration	Concentration of palmitoylethanolamide	1.26E-02	 	 	 	 	FAAH	1	
Cellular Growth and Proliferation, Skeletal and Muscular System Development and Function	cytostasis	Cytostasis of smooth muscle cells	1.26E-02	 	 	 	 	BMP4	1	
Cardiovascular System Development and Function	development	Development of vascular plexus	1.26E-02	 	 	 	 	Cdc42	1	
Cellular Development, Embryonic Development, Organismal Development, Tissue Development	differentiation	Differentiation of syncytiotrophoblast	1.26E-02	 	 	 	 	BMP4	1	
Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities	ectopic pupil	Ectopic pupil	1.26E-02	 	 	 	 	BMP4	1	
Tissue Development	filling	Filling of lumen	1.26E-02	 	 	 	 	CFTR	1	
Cell Morphology, Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Cellular Function and Maintenance	formation	Formation of actin filopodia	1.26E-02	 	 	 	 	Cdc42	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Nervous System Development and Function, Organ Development, Organismal Development, Respiratory System Development and Function, Tissue Development	formation	Formation of olfactory receptor neurons	1.26E-02	 	 	 	 	NCAM2	1	
Endocrine System Disorders, Gastrointestinal Disease, Hereditary Disorder, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	hereditary chronic pancreatitis	Hereditary chronic pancreatitis	1.26E-02	 	 	 	 	CFTR	1	
Lipid Metabolism, Small Molecule Biochemistry	hydrolysis	Hydrolysis of 2-arachidonoylglycerol	1.26E-02	 	 	 	 	FAAH	1	
Inflammatory Response	hypercytokinemia	Hypercytokinemia	1.26E-02	 	 	 	 	RAG1	1	
Cellular Compromise, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	injury	Injury of hepatocytes	1.26E-02	 	 	 	 	FAAH	1	
Developmental Disorder, Embryonic Development, Endocrine System Development and Function, Endocrine System Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Reproductive System Disease, Tissue Morphology	lack	Lack of Rathke's pouch	1.26E-02	 	 	 	 	BMP4	1	
Auditory Disease, Auditory and Vestibular System Development and Function, Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	lack	Lack of horizontal semicircular canal	1.26E-02	 	 	 	 	BMP4	1	
Cell Morphology, Hematological Disease, Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development	lack	Lack of natural killer T lymphocytes	1.26E-02	 	 	 	 	RAG1	1	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	lack	Lack of thymus medulla	1.26E-02	 	 	 	 	RAG1	1	
Cellular Function and Maintenance, Cellular Movement, Hematological System Development and Function, Humoral Immune Response, Immune Cell Trafficking, Inflammatory Response, Lymphoid Tissue Structure and Development	localization	Localization of marginal-zone B lymphocytes	1.26E-02	 	 	 	 	TNFRSF13C	1	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	migration	Migration of dermal dendritic cells	1.26E-02	 	 	 	 	Cdc42	1	
Cell Death and Survival	necroptosis	Necroptosis of pancreatic cancer cell lines	1.26E-02	 	 	 	 	UCHL1	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Nervous System Development and Function, Organ Development, Organismal Development, Respiratory System Development and Function, Tissue Development	neurogenesis	Neurogenesis of olfactory epithelial cells	1.26E-02	 	 	 	 	BMP4	1	
Cell-To-Cell Signaling and Interaction, Nervous System Development and Function, Skeletal and Muscular System Development and Function	neurotransmission	Neurotransmission of neuromuscular junctions	1.26E-02	 	 	 	 	UCHL1	1	
Neurological Disease, Organismal Injury and Abnormalities	seizures	Onset of seizures	1.26E-02	 	 	 	 	RAG1	1	
Cell Morphology	polarization	Polarization of peripheral T lymphocyte	1.26E-02	 	 	 	 	LCP1	1	
Cell Cycle	premature senescence	Premature senescence of lung cancer cell lines	1.26E-02	 	 	 	 	BMP4	1	
Hair and Skin Development and Function, Nervous System Development and Function, Organ Morphology, Tissue Morphology	quantity	Quantity of Merkel cells	1.26E-02	 	 	 	 	BMP4	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	reabsorption	Reabsorption of cholesterol	1.26E-02	 	 	 	 	Cdc42	1	
Cell Cycle, DNA Replication, Recombination, and Repair	recombination	Recombination of plasmid	1.26E-02	 	 	 	 	RAG1	1	
Cellular Assembly and Organization, Nervous System Development and Function	replenishment	Replenishment of synaptic vesicles	1.26E-02	 	 	 	 	Cdc42	1	
Cell Cycle	senescence	Senescence of eye cell lines	1.26E-02	 	 	 	 	BMP4	1	
Auditory and Vestibular System Development and Function, Connective Tissue Development and Function, Organ Morphology, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	size	Size of horizontal semicircular canal	1.26E-02	 	 	 	 	BMP4	1	
Dermatological Diseases and Conditions, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	ulcerative dermatitis	Ulcerative dermatitis	1.26E-02	 	 	 	 	RAG1	1	
Cell Morphology, Reproductive System Development and Function	whole-cell conductance	Whole-cell conductance of oocytes	1.26E-02	 	 	 	 	CFTR	1	
Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Microtubule dynamics	1.29E-02	Increased	2.601	bias	1.387	LMNB1,UCHL1,Cdc42,BMP4,PCDH15,NCAM2,ATP8A2,S100B,LCP1,OLFM1,SEMA5A	11	
Nervous System Development and Function, Visual System Development and Function	electrophysiology	Electrophysiology of retinal rods	1.31E-02	 	 	 	 	ATP8A2,SEMA5A	2	
Tissue Development	morphogenesis	Morphogenesis of epithelial tissue	1.32E-02	 	 	 	 	BMP4,PCDH15,SEMA5A	3	
Cellular Movement, Nervous System Development and Function	migration	Migration of neurons	1.34E-02	 	 	 	 	LMNB1,Cdc42,BMP4,PCDH15	4	
Organ Development, Visual System Development and Function	function	Function of retina	1.36E-02	 	 	 	 	Cdc42,PCDH15	2	
Cell Morphology	polarization	Polarization of T lymphocytes	1.36E-02	 	 	 	 	Cdc42,LCP1	2	
Organismal Development	development	Development of endocrine gland	1.37E-02	 	 	 	 	BMP4,INSM1,SCG5	3	
Developmental Disorder, Organismal Injury and Abnormalities, Reproductive System Disease	congenital malformation of genital organs	Congenital malformation of genital organs	1.46E-02	 	 	 	 	CLDN14,SCG5,CFTR	3	
Respiratory System Development and Function	development	Respiratory system development	1.47E-02	 	 	 	 	LMNB1,BMP4,NCAM2,CFTR,SPEF2	5	
Cell Cycle	senescence	Senescence of connective tissue cells	1.50E-02	 	 	 	 	LMNB1,FAAH	2	
Behavior, Organismal Functions	walking	Walking	1.50E-02	 	 	 	 	UCHL1,PCDH15	2	
Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function, Tissue Development	proliferation	Proliferation of neuronal cells	1.52E-02	 	1.129	bias	0.078	RAG1,LMNB1,Cdc42,BMP4,NCAM2,SEMA5A	6	
Embryonic Development, Hematological System Development and Function, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	formation	Formation of germinal center	1.55E-02	 	 	 	 	TNFRSF13C,LCP1	2	
Nervous System Development and Function	righting reflex	Righting reflex	1.55E-02	 	 	 	 	PCDH15,FAAH	2	
Cellular Assembly and Organization	organization	Organization of cellular membrane	1.55E-02	 	 	 	 	Cdc42,FCHO1,CFTR,CADM3	4	
Embryonic Development, Organismal Development	morphogenesis	Morphogenesis of head	1.57E-02	 	 	 	 	BMP4,EYA4,ATP8A2,SPEF2	4	
Digestive System Development and Function, Gastrointestinal Disease, Hepatic System Development and Function, Hepatic System Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of dilated gall bladder	1.57E-02	 	 	 	 	CFTR	1	
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Respiratory Disease, Respiratory System Development and Function, Tissue Morphology	abnormal morphology	Abnormal morphology of nasal mucosa	1.57E-02	 	 	 	 	CFTR	1	
Auditory Disease, Auditory and Vestibular System Development and Function, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of tympanic membrane	1.57E-02	 	 	 	 	EYA4	1	
Dermatological Diseases and Conditions, Hair and Skin Development and Function, Organ Morphology, Organismal Injury and Abnormalities	pigmentation	Abnormal pigmentation of skin	1.57E-02	 	 	 	 	RAG1	1	
Embryonic Development, Nervous System Development and Function, Organ Development, Organ Morphology, Organismal Development, Tissue Development, Visual System Development and Function	abnormal size	Abnormal size of eye	1.57E-02	 	 	 	 	BMP4	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Hematopoiesis, Immune Cell Trafficking, Inflammatory Response	aggregation	Aggregation of thymocytes	1.57E-02	 	 	 	 	RAG1	1	
Ophthalmic Disease, Organismal Injury and Abnormalities	anterior adhesions of iris	Anterior adhesions of iris	1.57E-02	 	 	 	 	BMP4	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Arrest in differentiation of thymocytes	1.57E-02	 	 	 	 	BMP4	1	
Connective Tissue Disorders, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	bone nodule	Bone nodule	1.57E-02	 	 	 	 	BMP4	1	
Hematological Disease, Organismal Injury and Abnormalities	bruising	Bruising of tissue	1.57E-02	 	 	 	 	SCG5	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function, Humoral Immune Response	co-stimulation	Co-stimulation of B lymphocytes	1.57E-02	 	 	 	 	TNFRSF13C	1	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	differentiation	Differentiation of colony-forming erythroid cells	1.57E-02	 	 	 	 	BMP4	1	
Cellular Development	differentiation	Differentiation of lung cell lines	1.57E-02	 	 	 	 	BMP4	1	
Cancer, Cellular Development, Organismal Injury and Abnormalities, Tumor Morphology	differentiation	Differentiation of myelomonocytic progenitor cells	1.57E-02	 	 	 	 	BMP4	1	
Cell Morphology	elongation	Elongation of embryonic cell lines	1.57E-02	 	 	 	 	Cdc42	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Organ Development, Organismal Development, Reproductive System Development and Function, Tissue Development	formation	Formation of primordial germ cells	1.57E-02	 	 	 	 	BMP4	1	
Hereditary Disorder, Ophthalmic Disease, Organismal Injury and Abnormalities	keratoconus type 1	Keratoconus type 1	1.57E-02	 	 	 	 	IL17B	1	
Nervous System Development and Function, Neurological Disease, Ophthalmic Disease	lack	Lack of optic nerve	1.57E-02	 	 	 	 	BMP4	1	
Cell Cycle, Skeletal and Muscular System Development and Function	mitosis	Mitosis of PASMC cells	1.57E-02	 	 	 	 	BMP4	1	
Cell Morphology, Digestive System Development and Function, Organ Morphology, Organismal Development	morphology	Morphology of delta islet cells	1.57E-02	 	 	 	 	SCG5	1	
Cell Cycle	premature senescence	Premature senescence of carcinoma cell lines	1.57E-02	 	 	 	 	BMP4	1	
Organ Morphology, Tissue Morphology	quantity	Quantity of acinar gland cells	1.57E-02	 	 	 	 	CFTR	1	
Cellular Function and Maintenance, Molecular Transport	reabsorption	Reabsorption of phosphate	1.57E-02	 	 	 	 	SLC34A3	1	
Organismal Injury and Abnormalities, Renal and Urological Disease	proteinuria	Severe proteinuria	1.57E-02	 	 	 	 	TNFRSF13C	1	
Infectious Diseases	shedding	Shedding of rotavirus	1.57E-02	 	 	 	 	RAG1	1	
Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders, Skeletal and Muscular Disorders	sporadic Parkinson disease	Sporadic Parkinson disease	1.57E-02	 	 	 	 	UCHL1	1	
Cancer, Organismal Injury and Abnormalities	sarcoma	Sarcoma	1.58E-02	 	 	 	 	RAG1,BMP4,INSM1,PCDH15,TMEM132C,ATP8A2,CFTR,CADM3,IL17B,SEMA5A	10	
Auditory and Vestibular System Development and Function, Nervous System Development and Function	hearing	Hearing	1.63E-02	 	 	 	 	BMP4,EYA4,PCDH15	3	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	adenocarcinoma	Adenocarcinoma in right upper lobe of lung	1.64E-02	 	 	 	 	GPR85,MAP3K21,EYA4,PCDH15,NALCN	5	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of thymocytes	1.65E-02	 	 	 	 	RAG1,BMP4	2	
Cellular Movement	cell movement	Cell movement	1.67E-02	Increased	2.057	bias	0.575	DUSP3,NAALADL2,LMNB1,UCHL1,Cdc42,INSM1,S100B,IL17B,LCP1,FAAH,RAG1,BMP4,PCDH15,CFTR,SEMA5A,Nbdy	16	
Cell Morphology, Nervous System Development and Function	morphology	Morphology of neuroglia	1.68E-02	 	 	 	 	RAG1,BMP4,S100B	3	
Cell Morphology, Hematopoiesis	morphology	Morphology of hematopoietic progenitor cells	1.76E-02	 	 	 	 	RAG1,Cdc42,TNFRSF13C	3	
Cell-To-Cell Signaling and Interaction	intercellular communication	Intercellular communication	1.79E-02	 	 	 	 	CFTR,IL17B,SEMA5A	3	
Cell Death and Survival	apoptosis	Apoptosis of T lymphocytes	1.80E-02	 	 	 	 	RAG1,Cdc42,BMP4,LGALS2	4	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	cell viability	Cell viability of cancer cells	1.80E-02	 	 	 	 	BMP4,TNFRSF13C	2	
Cellular Movement, Hematological Disease, Immunological Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Respiratory Disease	eosinophilia	Eosinophilia of lung	1.80E-02	 	 	 	 	RAG1,Nbdy	2	
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Reproductive System Development and Function, Reproductive System Disease	abnormal morphology	Abnormal morphology of cervix	1.88E-02	 	 	 	 	CFTR	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	aggregation	Aggregation of macrophages	1.88E-02	 	 	 	 	RAG1	1	
Cancer, Cell Death and Survival, Organismal Injury and Abnormalities, Tumor Morphology	cell viability	Cell viability of myeloma cells	1.88E-02	 	 	 	 	BMP4	1	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cellular infiltration	Cellular infiltration by tumor-associated macrophages	1.88E-02	 	 	 	 	S100B	1	
Cell Cycle, Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation	contact growth inhibition	Contact growth inhibition of myeloma cell lines	1.88E-02	 	 	 	 	BMP4	1	
Lipid Metabolism, Small Molecule Biochemistry	conversion	Conversion of arachidonic acid	1.88E-02	 	 	 	 	CFTR	1	
Cell Cycle, Cellular Movement	cytokinesis	Cytokinesis of oocytes	1.88E-02	 	 	 	 	Cdc42	1	
Cellular Development, Connective Tissue Development and Function, Tissue Development	differentiation	Differentiation of osteoprogenitor cells	1.88E-02	 	 	 	 	BMP4	1	
Cell Cycle, Hematological System Development and Function	cell cycle progression	Entry into cell cycle progression of T lymphocytes	1.88E-02	 	 	 	 	Cdc42	1	
Digestive System Development and Function	formation	Formation of palate	1.88E-02	 	 	 	 	BMP4	1	
Embryonic Development	frequency	Frequency of embryonic stem cells	1.88E-02	 	 	 	 	BMP4	1	
Respiratory Disease	hemothorax	Hemothorax	1.88E-02	 	 	 	 	SCG5	1	
Developmental Disorder, Hereditary Disorder, Ophthalmic Disease, Organismal Injury and Abnormalities	hypoplasia	Hypoplasia of iris	1.88E-02	 	 	 	 	BMP4	1	
Cell Morphology, Skeletal and Muscular System Development and Function	mineralization	Mineralization of bone cell lines	1.88E-02	 	 	 	 	BMP4	1	
Connective Tissue Development and Function, Embryonic Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	morphogenesis	Morphogenesis of cranial suture	1.88E-02	 	 	 	 	BMP4	1	
Cell Morphology	morphology	Morphology of yeast	1.88E-02	 	 	 	 	LCP1	1	
Cell Death and Survival, Cellular Compromise, Neurological Disease, Organismal Injury and Abnormalities, Tissue Morphology	neurodegeneration	Neurodegeneration of granule cells	1.88E-02	 	 	 	 	RAG1	1	
Cellular Assembly and Organization, Cellular Function and Maintenance	number	Number of stereocilia	1.88E-02	 	 	 	 	BMP4	1	
Connective Tissue Disorders, Immunological Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	oligoarticular juvenile idiopathic arthritis	Oligoarticular juvenile idiopathic arthritis	1.88E-02	 	 	 	 	RAG1	1	
Auditory Disease, Inflammatory Disease, Organismal Injury and Abnormalities	otitis media with effusion	Otitis media with effusion	1.88E-02	 	 	 	 	EYA4	1	
Neurological Disease	pathological denervation	Pathological denervation of neuromuscular junctions	1.88E-02	 	 	 	 	UCHL1	1	
Embryonic Development, Tissue Development	patterning	Patterning of epithelial tissue	1.88E-02	 	 	 	 	Cdc42	1	
Cell Cycle, DNA Replication, Recombination, and Repair	recombination	Recombination of gene	1.88E-02	 	 	 	 	RAG1	1	
Tissue Morphology	thickening	Thickening of glomerular basement membrane	1.88E-02	 	 	 	 	BMP4	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Arrest in differentiation of lymphocytes	1.96E-02	 	 	 	 	BMP4,TNFRSF13C	2	
Cellular Development, Cellular Growth and Proliferation, Respiratory System Development and Function	proliferation	Proliferation of lung cell lines	2.01E-02	 	 	 	 	LMNB1,BMP4	2	
Auditory and Vestibular System Development and Function, Organ Morphology, Organismal Development	morphology	Morphology of ear	2.07E-02	 	 	 	 	BMP4,EYA4,PCDH15	3	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of lateral plate mesoderm	2.19E-02	 	 	 	 	BMP4	1	
