© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Date	Mon Jan 20 14:26:17 PST 2020
Analysis ID	18745379

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Protein Kinase A Signaling	4E-01		2.61E-03	H1-5	
Molecular Mechanisms of Cancer	4.02E-01		2.63E-03	LRP1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.87E-01		3.36E-03	LRP1	
Neuroinflammation Signaling Pathway	4.98E-01		3.46E-03	GAD2	
Sirtuin Signaling Pathway	5.13E-01		3.61E-03	H1-5	
Colorectal Cancer Metastasis Signaling	5.58E-01		4.08E-03	LRP1	
Sperm Motility	6.12E-01		4.72E-03	DDR2	
Actin Cytoskeleton Signaling	6.18E-01		4.78E-03	TIAM1	
Superpathway of Inositol Phosphate Compounds	6.54E-01		5.26E-03	NUDT11	
NRF2-mediated Oxidative Stress Response	6.64E-01		5.41E-03	HERPUD1	
Wnt/β-catenin Signaling	6.97E-01		5.88E-03	LRP1	
Tight Junction Signaling	7.04E-01		5.99E-03	TIAM1	
Dendritic Cell Maturation	7.06E-01		6.02E-03	DDR2	
3-phosphoinositide Biosynthesis	7.26E-01		6.33E-03	NUDT11	
D-myo-inositol-5-phosphate Metabolism	7.49E-01		6.71E-03	NUDT11	
3-phosphoinositide Degradation	7.52E-01		6.76E-03	NUDT11	
Endocannabinoid Cancer Inhibition Pathway	7.71E-01		7.09E-03	NUPR1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
Iron homeostasis signaling pathway	8.06E-01		7.75E-03	LRP1	
IL-15 Production	8.42E-01		8.47E-03	DDR2	
Endocannabinoid Developing Neuron Pathway	8.52E-01		8.70E-03	STMN2	
Rac Signaling	8.74E-01		9.17E-03	TIAM1	
Type I Diabetes Mellitus Signaling	9.01E-01		9.80E-03	GAD2	
GABA Receptor Signaling	9.34E-01		1.06E-02	GAD2	
Factors Promoting Cardiogenesis in Vertebrates	9.52E-01		1.11E-02	LRP1	
Synaptogenesis Signaling Pathway	1.22E00		6.56E-03	LRP1,TIAM1	
Inhibition of Matrix Metalloproteases	1.31E00		2.63E-02	LRP1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.5E00		9.35E-03	DLX5,LRP1	
Granzyme A Signaling	1.66E00		5.88E-02	H1-5	
Glutamate Degradation III (via 4-aminobutyrate)	2.18E00		2.00E-01	GAD2	
Glutamate Dependent Acid Resistance	2.58E00		5.00E-01	GAD2	
Osteoarthritis Pathway	2.64E00		1.49E-02	DDR2,DLX5,LRP1	

Upstream Regulators for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
androstenediol	chemical - endogenous mammalian	 	3	 	 	-1.387	4.59E-04	2.33E-02	androstenediol,AR,CCND1,ESR1,ESR2,GATA1,IL1B,IL6,Mek,NFkB (complex),Pkc(s),STAT5B	BCL11B,DDR2,DLX5,KCND3,LRP1B,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TAC3,TIAM1,TMSB15A	13 (12)	11	 	 	 	NFkB (complex),RELA	 	 	 	 	 	
methylene blue	chemical drug	 	3	Inhibited	 	-2.309	4.66E-04	1.92E-02	AMPK,caspase,CCND1,CTNNB1,IL1B,IL6,methylene blue,NFkB (complex),Nos,Pkc(s),PTGS2,SIRT1,Sod,STAT4,TP53	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,SCGN,STMN2,TIAM1,TMSB15A	12 (15)	11	 	 	 	NFkB (complex)	APP,GSR,Nr1h	 	 	 	 	
TNFRSF19	transmembrane receptor	 	3	 	 	-1.508	4.78E-04	1.34E-02	Alp,caspase,CCND1,GATA1,IL1B,IL6,JUN,NFkB (complex),Pkc(s),PRL,STAT4,TGFB1,TNFRSF19	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TAC3,TIAM1	11 (13)	10	KLF4,SOX4	entinostat,GMNN,TCF7L1	 	NFkB (complex)	 	 	 	 	 	
GTPBP4	enzyme	 	3	 	 	-1.387	4.93E-04	2.62E-02	CCND1,GLI1,GTPBP4,IL1B,IL6,let-7,Mek,NFkB (complex),NPAT,PRDM1,STAT4,TP53	DDR2,DLX5,GAD2,H1-5,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,SCGN,TIAM1,TMSB15A	13 (12)	10	 	 	 	NFkB (complex)	 	 	 	 	 	
2,2'-dipyridyl	chemical toxicant	 	3	 	 	-0.333	4.94E-04	1.70E-02	2,2'-dipyridyl,CASP3,CASP8,CASP9,caspase,CXCR3,IL1B,MAPK1,Mek,NFkB (complex),PARP1,RAF1	DDR2,HERPUD1,KCND3,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1,TMSB15A	9 (12)	7	 	 	 	CASP8	 	 	 	 	 	
vinpocetine	chemical drug	 	3	Activated	 	2.887	5.13E-04	2.72E-02	caspase,CCND1,GLI1,IKBKB,IL1B,IL6,Mek,NFkB (complex),TP53,TP73,vinpocetine	DDR2,DLX5,GAD2,HERPUD1,KCND3,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (11)	9	 	 	 	 	NFkB (complex)	 	 	 	 	
RORA	ligand-dependent nuclear receptor	 	3	Activated	 	2.309	5.39E-04	2.47E-02	caspase,CCND1,CTNNB1,CYP19A1,IL1B,IL6,MAPK1,NFkB (complex),RORA,STAT4,STAT5B,TP53	DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (12)	10	STAT4	 	 	SCD	NFkB (complex),RELA	 	 	 	 	
proteasome inhibitor	chemical drug	 	3	Activated	 	2.887	5.47E-04	2.89E-02	caspase,CCND1,GATA1,GATA3,IL1B,IL6,NFkB (complex),NR3C1,proteasome inhibitor,PTGS2,STAT4,TP53	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TAC3,TIAM1,TMSB15A	12 (12)	10	 	 	 	AQP1	NFkB (complex)	 	 	 	 	
PCSK5	peptidase	 	3	 	 	0.333	5.48E-04	1.62E-02	AMH,BMP4,CTNNB1,EGFR,FURIN,Integrin,MAP2K1/2,MMP14,NFkB (complex),PCSK5,Pkc(s),RAF1	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NUPR1,TIAM1,TMSB15A	9 (12)	8	 	 	 	BMP4	 	 	 	 	 	
NCL	other	 	3	 	 	1.387	5.56E-04	2.52E-02	CCND1,COL18A1,GATA1,GATA3,GLI1,IL6,MDM2,Mek,MMP14,MYB,NCL,NFkB (complex),NPAT,STMN1,TP53	BCL11B,DDR2,DLX5,GAD2,H1-5,KCND3,LRP1,NUPR1,PDZRN3,STMN2,TAC3,TIAM1,TMSB15A	13 (15)	11	MTBP,PLCG1	 	 	mir-15	 	 	 	 	 	
Lymphotoxin	complex	 	3	Inhibited	 	-2.309	5.61E-04	2.86E-02	caspase,CCND1,GATA3,IFNG,IL1B,IL6,LTBR,Lymphotoxin,Mek,NFkB (complex),NFKB1,STAT4,TP53	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (13)	10	 	 	 	cytokine,NFkB (complex)	 	 	 	 	 	
TSG101	transcription regulator	 	3	 	 	-1.732	5.65E-04	1.45E-02	AR,EGFR,ERK,GATA1,GATA3,IL1B,Mek,NFkB (complex),NR3C1,SIRT1,STAT5B,STMN1,TSG101	BCL11B,DDR2,GAD2,HERPUD1,KCND3,NEAT1,NUPR1,PDZRN3,RBM5-AS1,SCGN,STMN2,TAC3	12 (13)	10	 	 	 	NFkB (complex)	DDIT3,STMN1	 	 	 	 	
SNW1	transcription regulator	 	3	 	 	-1.941	5.99E-04	2.94E-02	APP,CCND1,ESR1,ESR2,GATA1,IL1B,IL6,NFkB (complex),Pkc(s),SNW1,STAT4,STAT5B	BCL11B,DLX5,GAD2,KCND3,LRP1,LRP1B,NEAT1,PDZRN3,RBM5-AS1,STMN2,TAC3,TIAM1,TMSB15A	13 (12)	11	 	 	 	NFkB (complex)	 	 	 	 	 	
RNA polymerase II	complex	 	3	 	 	1.732	6.01E-04	3.10E-02	caspase,CCND1,CHEK1,E2F3,EGFR,GLI1,IL6,Mek,NFkB (complex),NPAT,RNA polymerase II,STMN1,TP53	DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NEAT1,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (13)	11	CCNH	DMAP1,potassium chloride	 	TERC	 	 	 	 	 	
Usp17le (includes others)	peptidase	 	3	Inhibited	 	-2.111	6.12E-04	2.46E-02	CCND1,IL1B,IL6,NFkB (complex),STAT4,STAT5B,TP53,Usp17le (includes others)	DLX5,GAD2,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	11 (8)	7	 	 	 	KLF4,NFkB (complex)	 	 	 	 	 	
tilimycin	chemical - endogenous non-mammalian	 	3	 	 	1.732	6.12E-04	3.12E-02	caspase,CCND1,CHEK1,CHEK2,E2F3,EGFR,GLI1,IL6,Mek,NFkB (complex),NPAT,STMN1,tilimycin,TP53	DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NEAT1,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (14)	11	 	 	 	 	 	 	 	 	 	
atypical protein kinase C	group	 	3	 	 	-0.302	6.17E-04	1.15E-02	Akt,atypical protein kinase C,CDKN1A,ERK1/2,ESR2,GATA1,GLI1,IL1B,NFE2L2,NFkB (complex),NPAT,PRKCI,RAF1,SREBF1,TNF	GAD2,H1-5,HERPUD1,KCND3,LRP1B,NEAT1,NUPR1,PDZRN3,RBM5-AS1,TAC3,TIAM1	11 (15)	10	Ins1	 	 	NFkB (complex),RELA	 	 	 	 	 	
RGS (4,7,10,12,14)	group	 	3	 	 	0.707	6.27E-04	1.28E-02	EGFR,G protein alphai,GLI1,GNA12,Gαi/o,MAP2K1/2,MAPK1,NFkB (complex),Pkc(s),RGS (4,7,10,12,14),RGS12,SRF	BCL11B,DDR2,GAD2,HERPUD1,KCND3,LRP1,NUPR1,PDZRN3	8 (12)	8	 	 	 	 	 	 	 	 	 	
1-[2,3-bis(furan-2-yl)quinoxalin-6-yl]-3-(4-bromophenyl)urea	chemical reagent	 	3	Activated	 	2.887	6.49E-04	2.94E-02	1-[2,3-bis(furan-2-yl)quinoxalin-6-yl]-3-(4-bromophenyl)urea,CCND1,GLI1,IKBKB,IL1B,IL6,Mek,NFkB (complex),NFKBIA,PTGS2,STAT4,TP53,TP73	DDR2,DLX5,GAD2,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (13)	10	 	 	 	 	NFkB (complex)	 	 	 	 	
NPM1	transcription regulator	 	3	 	 	-1.387	6.53E-04	2.77E-02	caspase,EIF2AK2,EIF4E,GLI1,IL1B,IL6,Mek,NFkB (complex),NPAT,NPM1,PTPN2,STAT4,TP53	BCL11B,DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,TMSB15A	13 (13)	10	MTBP	 	 	NFkB (complex)	 	 	 	 	 	
PRKCG	kinase	 	3	 	 	-1.732	6.61E-04	2.02E-02	CCND1,CDH5,EIF4E,GRK2,IL1B,IL6,Mek,NFkB (complex),Pkc(s),PRKCG,RARA,RTN4,SNCA,STAT4,STMN1	BCL11B,DDR2,DLX5,GAD2,KCND3,LRP1,NEAT1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (15)	11	CASP8	APP,phosphatidylserine,rasagiline	 	NFkB (complex)	STMN1	 	 	 	 	
LTB	cytokine	 	3	Inhibited	 	-2.309	6.70E-04	2.90E-02	caspase,CCND1,CHUK,CTNNB1,GATA3,IL1B,IL6,LTB,Mek,NFkB (complex),NFKB1,STAT4,TP53	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (13)	10	 	Nr1h	 	Ifn	 	 	 	 	 	
GMNN	transcription regulator	 	3	 	 	-1.732	6.77E-04	3.41E-02	caspase,CCND1,CHEK1,CHEK2,E2F3,EGFR,GLI1,GMNN,IL6,Mek,NFkB (complex),NPAT,STMN1,TP53	DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NEAT1,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (14)	11	 	 	 	 	ACVR1,FOXJ1,TNFRSF19	 	 	 	 	
MAST2	kinase	 	3	Inhibited	 	-2.111	6.88E-04	2.05E-02	caspase,CCND1,cytarabine,EGFR,IL1B,IL6,MAP2K1/2,MAST2,MAVS,Mek,NFkB (complex),Pkc(s),PTEN,RAF1,STAT4,TRAF6	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TIAM1	11 (16)	12	 	 	 	NFkB (complex)	 	 	 	 	 	
acetaminophen	chemical drug	 	2	 	 	0.707	6.95E-04	1.35E-02	acetaminophen,ALDH2,CTNNB1,MAPK1,NFE2L2,NFkB (complex),PTGS2,RAF1	DLX5,GAD2,HERPUD1,KCND3,NUPR1,SLC7A3,TIAM1,TMSB15A	8 (8)	7	 	 	 	A2M,CASP8,DDIT3,RELA	GSR,mir-15,NFkB (complex)	 	 	 	 	
IBTK	other	 	3	Activated	 	2.530	7.10E-04	1.91E-02	BTK,caspase,CCND1,IBTK,IKZF1,IL1B,IL6,NFkB (complex),STAT4,STAT5B	DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,PDZRN3,RBM5-AS1,STMN2,TIAM1	10 (10)	8	 	 	 	 	NFkB (complex)	 	 	 	 	
CAPN1	peptidase	 	3	Inhibited	 	-2.887	7.28E-04	1.41E-02	26s Proteasome,AKT1,beta-estradiol,CAPN1,caspase,CCND1,ERBB2,ERK,ESR2,IL1B,ITGB3,MYC,NFkB (complex),Pkc(s),PTPase,PTPN2,SIRT1,SRF,STAT4,STAT5B,TRPC5	BCL11B,GAD2,HERPUD1,KCND3,LRP1,LRP1B,NEAT1,PDZRN3,RBM5-AS1,SCGN,TAC3,TIAM1	12 (21)	13	APP	 	 	NFkB (complex)	caspase	 	 	 	 	
DMAP1	transcription regulator	 	3	Inhibited	 	-2.714	7.55E-04	2.11E-02	caspase,CCND1,DMAP1,GATA1,GATA3,IL1B,IL6,NFkB (complex),NR3C1,PTGS2,STAT4	BCL11B,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TAC3,TIAM1	11 (11)	9	 	 	 	NFkB (complex)	RNA polymerase II	 	 	 	 	
NLRP4	other	 	3	Activated	 	2.887	7.64E-04	3.19E-02	caspase,CCND1,CHUK,CTNNB1,GLI1,IKBKB,IL1B,IL6,Mek,NFkB (complex),NLRP4,STAT4,TP53	DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (13)	10	 	 	 	 	NFkB (complex)	 	 	 	 	
prednisolone	chemical drug	 	2	 	 	0.378	7.65E-04	8.90E-03	IL1B,NFkB (complex),PARP1,prednisolone,PTGS2	DLX5,GAD2,KCND3,NEAT1,RBM5-AS1,STMN2,TMSB15A	7 (5)	4	 	 	 	NFkB (complex),TNFAIP3	APP,BAG1,CASP8,CXCR4,cytokine,Irgm1,PRNP,RELA	 	 	 	 	
entinostat	chemical drug	 	3	 	 	-1.732	7.80E-04	1.98E-02	Akt,CASP8,E2F3,EGFR,entinostat,ERK,ESR2,GATA1,GATA3,HDAC1,HDAC5,IL1B,Jnk,LY294002,MAP2K1/2,NFkB (complex),NFKB1,PARP1,Pkc(s),SIRT1,SKI,STAT5B,STMN1,TNF	BCL11B,GAD2,HERPUD1,KCND3,LRP1B,NEAT1,PDZRN3,RBM5-AS1,SCGN,STMN2,TAC3,TMSB15A	12 (24)	16	 	 	 	CASP8,NFkB (complex),RELA	TNFRSF19	 	 	 	 	
POLH	enzyme	 	3	 	 	1.732	7.88E-04	3.50E-02	caspase,CCND1,CHEK2,E2F3,GLI1,IL6,Mek,NFkB (complex),NPAT,POLH,STMN1,TP53	DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NEAT1,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	10	 	 	 	 	 	 	 	 	 	
MUS81	enzyme	 	3	 	 	-1.732	7.90E-04	3.50E-02	caspase,CCND1,CHEK2,E2F3,GLI1,IL6,Mek,MUS81,NFkB (complex),NPAT,STMN1,TP53	DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NEAT1,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	10	 	 	 	 	 	 	 	 	 	
jesterone dimer	chemical toxicant	 	3	Activated	 	2.887	8.44E-04	3.83E-02	CASP3,CCND1,GLI1,IKBKB,IL1B,IL6,jesterone dimer,Mek,NFkB (complex),NFKBIA,PARP1,PTGS2,STAT4,TP53,TP73	DDR2,DLX5,GAD2,KCND3,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (15)	11	 	 	 	 	NFkB (complex)	 	 	 	 	
CLIP1	other	 	3	 	 	1.897	8.52E-04	1.89E-02	CCND1,CLIP1,IL1B,IL6,Mek,NFkB (complex),paclitaxel,Pkc(s),RAF1,SRF,STAT4	BCL11B,DDR2,DLX5,GAD2,KCND3,LRP1,NEAT1,RBM5-AS1,STMN2,TIAM1	10 (11)	9	 	 	 	 	NFkB (complex)	 	 	 	 	
trebananib	biologic drug	 	3	 	 	-0.333	8.85E-04	3.16E-02	ANGPT1,ANGPT2,CTNNB1,EGFR,IL6,MAPK1,Mek,NFkB (complex),Pkc(s),RAF1,trebananib	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,NUPR1,TIAM1,TMSB15A	9 (11)	8	 	 	 	 	 	 	 	 	 	
grape seed extract	chemical drug	 	3	 	 	0.632	9.05E-04	2.39E-02	CASP3,CREB1,CYP19A1,DICER1,EPHB2,grape seed extract,NADPH oxidase,NFkB (complex),Pkc(s),RAF1,reactive oxygen species,SIRT1,STAT5B,TGFB1,TNF	BCL11B,DLX5,GAD2,KCND3,NEAT1,PDZRN3,RBM5-AS1,SCGN,STMN2,TIAM1	10 (15)	10	 	 	 	 	APP	 	 	 	 	
NIK	group	 	3	Inhibited	 	-2.887	9.06E-04	3.47E-02	caspase,CCND1,CHUK,CTNNB1,GLI1,IKBKB,IL1B,IL6,Mek,NFkB (complex),NIK,STAT4,TP53	DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	12 (13)	10	 	 	 	NFkB (complex)	 	 	 	 	 	
NFkB (complex)	complex	 	2	Inhibited	 	-2.714	9.16E-04	3.42E-02	caspase,CCND1,IL1B,IL6,NFkB (complex),STAT4,TP53	DLX5,GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TIAM1,TMSB15A	11 (7)	7	acetaldehyde,alpha,beta-methyleneadenosine 5'-triphosphate,androstenediol,APP,atypical protein kinase C,BEX3,BMP4,Bvr,CAPN1,CARD16,CASP1,CASP10,CASP8,CCR5,CYCS,daunorubicin,death receptor,DHX9,DMAP1,ELANE,entinostat,ERC1,FOXC1,glycochenodeoxycholate,GSR,GTPBP4,histamine,IGBP1,IL1R1,Ins1,isatin,LOC100359583/Ptma,LRPAP1,Lymphotoxin,lysophosphatidylcholine,MAST2,MEOX2,methylene blue,mir-181,NIK,NLRP1,NPM1,PDCD5,peroxynitrite,PKMYT1,PKN3,PLCG1,PPP4R3A,prednisolone,PRKCG,PRNP,PTPN2,rasagiline,RIPK3,RNF34,romidepsin,SERPINB3,SNW1,SP600125,TAZ,TERF2IP,THBS1,TNFRSF19,TSG101,urethane,Usp17le (includes others),zVAD	1-[2,3-bis(furan-2-yl)quinoxalin-6-yl]-3-(4-bromophenyl)urea,acetaminophen,Adora3/LOC100911796,ambroxol,aurapten,benfotiamine,Casp12,chloramine,CLIP1,COMMD1,COMMD7,cyclopentenone,DDB2,diclofenac,DIRAS1,E 3330,fibric acid derivative,fluvastatin,FOXD1,FOXJ1,GRAMD4,IBTK,jesterone dimer,KLF4,leptomycin B,mir-138,mir-15,mir-31,miR-515-3p (and other miRNAs w/seed AGUGCCU),mir-8,NLRP4,NMRAL1,Nr1h,OTUB1,PI3,proteasome inhibitor,RORA,rotenone,RV 538,Rxr,SETD6,SHIP,TIGAR,USP20,vinpocetine,vitamin D,vitamin E	 	AQP1,CXCR4,ELK1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA21,IFNA7,IFNK,IFNW1,IL15RA,PPIF,TRIB3	CETP	 	 	 	 	
bendamustine	chemical drug	 	3	 	 	1.732	9.54E-04	4.16E-02	bendamustine,caspase,CCND1,CHEK2,E2F3,GLI1,IL6,Mek,NFkB (complex),NPAT,STMN1,TP53	DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NEAT1,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	10	 	 	 	 	 	 	 	 	 	
HDL-cholesterol	complex	 	1	 	 	-1.414	1.01E-03	1.20E-03	HDL-cholesterol	DDR2,NUPR1	2 (1)	1	fibric acid derivative,fluvastatin,leucine,PEMT	CETP	 	 	FDFT1,TRIB3	 	 	 	 	
SRA1	transcription regulator	 	3	 	 	-0.577	1.02E-03	2.87E-02	APP,AR,ESR1,ESR2,GATA1,GATA3,IL2,Mek,NR3C1,Pkc(s),PPARD,PPARG,progesterone,PTGS2,RAF1,SIRT1,SRA1,SREBF2,STAT5B	BCL11B,DDR2,DLX5,GAD2,LRP1,LRP1B,NEAT1,PDZRN3,SCGN,TAC3,TIAM1,TMSB15A	12 (19)	14	 	 	 	THBS1	 	 	 	 	 	
daunorubicin	chemical drug	 	2	 	 	0.378	1.02E-03	9.60E-03	caspase,daunorubicin,MAPK1,NFkB (complex),PARP1,Pkc(s),RAF1	BCL11B,GAD2,HERPUD1,KCND3,NUPR1,TIAM1,TMSB15A	7 (7)	6	 	 	 	CASP8,caspase,NFkB (complex),RELA	 	 	 	 	 	
SPN	transmembrane receptor	 	3	 	 	0.277	1.02E-03	4.91E-02	caspase,CCND1,EGFR,GLI1,IL6,Mek,Mmp,MMP14,NFkB (complex),NPAT,SPN,STMN1,TGFB1,TNF,TP53	DDR2,DLX5,GAD2,H1-5,HERPUD1,LRP1,NEAT1,NUPR1,PDZRN3,RBM5-AS1,STMN2,TIAM1,TMSB15A	13 (15)	13	 	IL15RA,MECP2	 	 	 	 	 	 	 	
CASP1	peptidase	 	2	 	 	0.333	1.05E-03	2.29E-02	CASP1,caspase,IL1,IL1B,NFkB (complex),TP53	GAD2,HERPUD1,KCND3,LRP1,NEAT1,NUPR1,RBM5-AS1,STMN2,TMSB15A	9 (6)	5	lysophosphatidylcholine,mifepristone,NLRP1,NLRP2,SOX4	caffeine,Casp12,IGBP1,SP600125,TERC,TNFAIP3	 	caspase,histamine,NFkB (complex),RIPK3,SCD	 	 	 	 	 	
ACTN2	transcription regulator	 	3	 	 	0.000	1.08E-03	3.61E-02	ACTN2,APP,AR,ESR1,ESR2,GATA1,Mek,NCOA2,NMDA Receptor,NRAS,Pkc(s),SREBF2,STAT5B,TNF	BCL11B,DDR2,DLX5,GAD2,LRP1,LRP1B,NEAT1,NUPR1,PDZRN3,RBM5-AS1,TAC3,TMSB15A	12 (14)	11	 	APP	 	 	 	 	 	 	 	
PRNP	other	 	2	 	 	-1.134	1.12E-03	1.20E-02	caspase,CTNNB1,MAPK1,NFkB (complex),Pkc(s),PRNP	BCL11B,GAD2,HERPUD1,KCND3,LRP1,NUPR1,TMSB15A	7 (6)	6	 	prednisolone,RV 538	 	ATF4,Casp12,CASP8,caspase,copper,NFkB (complex),RELA	DDIT3,TCF7,TCF7L1	 	 	 	 	
PPME1	enzyme	 	2	 	 	0.447	1.15E-03	3.00E-03	APP,ELK1,Mek,PPME1	DDR2,HERPUD1,KCND3,LRP1,NUPR1	5 (4)	3	 	 	 	APP,ELK1	 	 	 	 	 	
LATS	group	 	3	 	 	1.732	1.18E-03	4.96E-02	caspase,CCND1,GLI1,IL6,LATS,LATS2,Mek,NFkB (complex),NPAT,SREBF2,STMN1,TP53	DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,LRP1,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	10	 	 	 	 	 	 	 	 	 	
CCNH	transcription regulator	 	3	 	 	-1.155	1.20E-03	2.46E-02	APP,CCND1,CCNH,Cdk,CDK1,CDK4,CDK6,DDIT3,ESR1,ESR2,GATA1,GLI1,NFkB (complex),NPAT,SIRT1,STAT5B,STMN1	DDR2,GAD2,H1-5,KCND3,LRP1,LRP1B,PDZRN3,SCGN,STMN2,TAC3,TIAM1,TMSB15A	12 (17)	12	 	 	 	RNA polymerase II	 	 	 	 	 	
GZMA	peptidase	 	3	Activated	 	2.530	1.22E-03	4.81E-02	APEX1,C3,caspase,EGFR,F2R,GNA12,GZMA,MAPK1,NFkB (complex),NME1,PARP1,Pkc(s),SIRT1,SRF,TGFB1,TP53,YAP1	BCL11B,DDR2,DLX5,GAD2,HERPUD1,KCND3,LRP1,NUPR1,SCGN,TMSB15A	10 (17)	12	 	 	 	 	 	 	 	 	 	
RPL23	other	 	3	 	 	1.155	1.22E-03	4.59E-02	caspase,CCND1,GATA3,GLI1,IL6,MDM2,Mek,NFkB (complex),NPAT,RPL23,STMN1,TP53	BCL11B,DDR2,DLX5,GAD2,H1-5,HERPUD1,KCND3,NUPR1,PDZRN3,STMN2,TIAM1,TMSB15A	12 (12)	10	 	 	 	 	 	 	 	 	 	
