HD20_vs_CTR,HD18_vs_CTR,HD17_vs_CTR,HD_vs_CTR,HD20_vs_HD19
HOXA2,PCDHGA11,LOC105371480,FAM122B,SCN9A
APBA1,PCDHA6,LOC105371505,CYP26A1,CCL2
HOXA3,PCDHA2,LOC105371509,NKX2-3,BCAN
HOXA4,PRLR,LOC105371520,DAB1,PKNOX2
HOXA5,SUSD2,LOC105371532,C11orf42,GPSM3
APBA2,DNAJC12,LOC105371533,DENND5B,DMRTA2
HOXB9,CCDC177,LOC105371554,DAPK1,TP53AIP1
HOXC4,LHX9,SMCR2,TMEM30B,SECTM1
HPCAL1,SHD,LOC105371573,MDGA2,SELL
MORF4L1P2,CEACAM19,LOC105371586,ANKFN1,PERP
RAB37,CCNL1,LOC105371629,RHBDL3,SNX16
HRH2,LPAR5,LOC105371638,ZNF600,EPB41L4A
HSF4,VN1R1,LOC105371689,ZNF320,VSIR
HSPA2,PTGDS,LOC105371786,ZNF846,ACOT1
APLP1,CLK4,LINC02086,ZNF114,ERAP2
PPM1J,SHROOM4,LOC105371860,ZNF100,POPDC3
ICA1,AHRR,LOC105371910,KANK4,SEMA4A
MESTP1,STARD9,LOC105371956,DCT,PJA1
KRTAP5-AS1,CASKIN1,LINC01894,LONRF2,FAM110C
LINC01252,RTL9,LINC01902,FAM171B,SFRP5
PKD1P1,CGN,LOC105372097,XIRP1,LOC642590
PRSS53,IGSF9,LOC105372165,RNF168,NPIPA2
ADAMTSL5,NCEH1,LOC105372185,PRSS35,ARHGEF28
ZFP69,SEMA6A,LOC105372225,TXLNB,ATF4P3
LINC00634,ZNF471,LOC105372233,DACT2,PURPL
LOC339803,BEGAIN,LOC105372269,GLIS3,HHIP
ASS1P7,KIAA1456,LOC105372279,ARX,GOT2P3
NAT8L,DPP10,LOC105372310,DYNLT3P1,SUSD1
TMEM173,SH3RF1,LOC105372321,NUDT4P2,BMS1P11
LOC340268,GPAM,LOC105372345,ADAMTS16,APOOP5
ASS1P11,ZDBF2,LOC105372419,ZNF431,FAM83G
FAM221A,CPNE5,LOC105372432,SYNPO2,SH3BGR
NEXMIF,ANKRD36B,LOC105372449,ZNF675,TMEM200C
BEX5,ZFYVE28,LOC105372458,ABHD3,RPS28P4
TCEAL5,PTPRB,LOC105372483,DHFR,RAB11FIP1P1
DCAF12L2,PTPRH,LOC105372529,DIO3,RPS4XP8
VWA2,PTPRJ,LOC105372553,DLG2,LOC646347
NANOS1,PTPRR,LOC105372581,DLG3,SYNDIG1L
HMX3,PWP2,LOC105372663,DLX5,HMGB3P24
HEPHL1,MYL7,LOC105372707,AGA,EMBP1
ASS1P13,MID1IP1,LOC105372726,DNAH9,SHMT2
IDUA,RAD51C,LOC105372816,DNASE1L2,1-Mar
ZNF677,RAD52,LOC105372824,DYNC1I1,MIR924HG
PALM3,BCHE,LOC105372837,DNMT3A,BMP4
HSP90B3P,ENPP5,LOC105372842,ABAT,SLC3A2
NCKAP5,HIVEP3,LOC105372850,DPP6,SLC4A2
CDKL4,NTN4,LOC105372860,DRD1,BMP5
SH3RF3,RXFP1,LOC105372898,DSC1,FAM86FP
ZNF860,LGR6,LOC105372909,DSC2,FAM86B2
ZNF879,RBP1,LINC02257,DSG2,WASH6P
CAVIN4,BCL2A1,LOC105372952,EPYC,BMS1P9
CCDC160,REV3L,LOC105372976,DUSP4,SLC6A9
IFRD1,RGS16,LINC01638,ABCA1,WASH7P
TUBB2B,RNF5,LOC105373021,EFNB2,BMP6
PWARSN,ALX4,LOC105373041,MEGF9,LOC654342
AMIGO2,ROS1,LOC105373057,EGFR,BMP8B
CLEC18A,RPA2,LOC105373063,GRAMD2A,SLCO2A1
HCN1,SCART1,LOC105373074,NSMCE1,SMARCA1
WDR86,SNORD96A,LOC105373085,EIF4EBP1,RASL11B
IL7R,BDH1,LOC105373095,ELAVL3,LYNX1
IL15,CLIP1,LOC105373096,CADM4,SMS
FKBP9P1,SCN5A,LOC105373102,ZNF626,SNCG
INSM1,SCNN1D,LOC105373106,ADM5,SNRPN
EIF3EP1,SRR,LOC105373110,SLC5A9,SPAG1
ISL1,BCAN,LINC01703,KRTCAP2,UAP1
ITGA4,ABHD4,LOC105373132,FOXD4L1,SPAG4
ITGA9,SH2D4A,LOC105373134,VWA3B,SPOCK1
ITGB4,DMRTA2,LOC105373154,PIKFYVE,SPTB
ITGB6,KIF13A,LOC105373195,KRTCAP3,SSTR2
ITIH3,LHPP,LOC105373215,EML1,ZFP36L2
ITK,RBKS,LOC105373234,SAMD14,CDKL5
ITPR3,PARVG,LOC105373249,FBXO15,SYT1
STK19B,ADGRL4,LOC105373264,EMX1,TAC3
ANOS2P,SEPT7P2,LOC105373270,LINC00870,TACR1
KCNA2,FAM110C,LOC105373311,EN1,TAF4B
KCNA3,SFRP5,LOC105373318,SLC29A1,TBX1
CDRT1,LOC642852,LOC105373381,SUSD3,CNTN2
GALNT18,FLVCR1-AS1,LOC105373386,RTL3,TBL1X
WASH4P,C15orf62,LOC105373401,ANO5,TBXA2R
KCNC3,HIF3A,LOC105373449,DMTN,GCFC2
IGFL1,LOC643562,LOC105373456,EPHA3,TCTA
KCND1,NXN,LOC105373502,SLC44A5,TEAD1
PEAR1,RPSAP8,LOC105373582,AK4,TEK
KCND2,GOLGA6L4,LOC105373623,LINC00116,LEFTY2
KCND3,MMP25,LOC105373690,EPHX2,TGFBI
KCNH1,ARL14EPL,LOC105373716,EPS8,TGFBR3
WASH5P,RPL23AP53,LOC105373759,ERBB3,THBS1
ENHO,GOT2P3,LOC105373774,ERV3-1,KLF10
PNPLA7,BEND3P1,LOC105373780,ETS2,TIMP4
KCNJ4,LOC644554,MYOSLID,EXTL1,ICAM5
KCNJ5,CSMD1,LINC01614,ALCAM,TLL1
KCNJ13,LOC645513,LOC105373949,FABP6,TLR2
KCNJ15,ALDH8A1,LOC105373950,FABP7,TSPAN7
KCNMB1,SH3GL1P1,LOC105373953,ALDH1B1,TNNT1
NHLRC1,MAGEB17,LOC105373954,AMER2,TPD52L1
KDR,TPTE2P1,LOC105373957,TMEM254-AS1,TRAF3
KIF5C,LOC646471,LOC105373968,STOX1,C4A
KLRD1,SBK2,LOC105374013,HYLS1,C4B
KRT5,SYNDIG1L,LOC105374027,FBN2,C5
KRT6B,EEF1GP1,LOC105374029,FAM124A,TTN
KRT7,C6orf132,LINC02024,TIGD3,DDX11L16
KRT8,GOLGA6L10,LOC105374063,FAM181B,NUTM2A
RNF144A-AS1,PDIA2,LOC105374071,RNF152,NUTM2A-AS1
SNHG5,SHOX2,LOC105374086,RASGEF1A,RPL7P26
KRT17,CCDC136,LINC02014,SPATA13,BMS1P10
GPR153,ST3GAL1,LOC105374128,NT5DC1,LOC728613
ILDR2,SLC1A3,LOC105374167,SERPINB9P1,ZBED5-AS1
SKIDA1,MIPEPP3,LOC105374187,VWDE,LOC729086
FIBIN,ZNF192P1,LOC105374216,JAZF1,RPS4XP14
RHOB,BMP4,LOC105374298,SLC35F1,FAM86HP
TNFAIP8L3,LOC652549,LOC105374334,ZSCAN23,LOC729737
TMEM220,FAM86FP,LOC105374341,SEMA3D,C8G
ZNF728,LOC653513,LOC105374419,ALDH3A2,UGCG
IGFL3,GSTT2B,LOC105374421,MAPK15,COL14A1
HS6ST1P1,PAX8-AS1,LOC105374454,ALDOA,VDR
KRT81,CAPRIN2,LOC105374538,FGFR3,VIP
KRT83,LYNX1,LOC105374557,GPC5,VWF
KRT84,SOX3,LOC105374594,ALDOAP2,WARS
SP5,DST,LOC105374602,ITGA11,WNT2B
KRT85,SPAG4,LOC105374689,PHLDA1,WT1
KRT86,FOXL2,LOC105374715,HSPA4L,ZNF711
BEND4,SPOCK1,LOC105374724,CNKSR2,H2BFXP
PROB1,STAC,LOC105374773,NLGN1,ZNF132
C5orf46,SNORA40,LOC105374779,ZHX2,ZNF154
ARHGEF37,ACTBP8,LOC105374807,ARSG,CACNA1C
RPL5P18,STX1A,LOC105374845,ZP1,ZNF208
FAM90A25P,SULT1A1,LOC105374848,ELL2,ZNF229
LOC389641,SULT1A3,LOC105374852,SHANK2,CACNA2D1
ASNSP1,SYT4,LOC105374898,FOXD1,CACNB2
XKR9,TACR1,LOC105374985,RPL41P2,ST8SIA4
GLIDR,SNORD5,LOC105374997,EFR3B,TRPM8
LOC389906,SNORD84,LOC105375018,MAST1,SLC25A23
GAPDHP21,MIR570,LOC105375019,LIMCH1,CHAC1
NKX1-2,TFAP2C,LOC105375106,ALDOC,ESRG
RPL5P29,TFPI,LOC105375111,DAAM1,LINC00626
RPS4XP13,LEFTY2,LOC105375124,PLCH1,APOO
LAMA3,THRB,LOC105375132,MYO16,MMP28
VSIG8,TIAM1,LOC105375164,ZNF292,IRX1
RPS4XP6,TIMP3,LOC105375213,TNIK,HMGN5
LAMC2,TIMP4,LOC105375222,SMG1,PGBD5
GDF6,NKX2-1,LOC105375247,FOXS1,TMEM204
ELFN1,TLL1,LOC105375249,EXPH5,PARP8
LCP1,TLR5,LOC105375252,PEG10,VTCN1
LDHA,TSPAN7,LOC105375265,ZNF423,CALCB
ARHGDIB,TMPRSS2,LOC105375382,KIF1B,LRRK1
LIFR,TPD52L1,LOC105375384,FOXO3B,MYH14
ARHGDIG,TRAF5,LOC105375404,RAP1GAP2,TFPI2
TMEM200B,ACTG2,LOC105375423,SPART,MOB3B
LINC00999,C4A,LOC105375503,TNRC6B,NUDT18
LINC01002,HIST2H2AA4,LOC105375513,ATP10B,RIN3
C11orf87,SNHG4,LOC105375614,FRMD4B,TCEAL4
ASIC2,SDHAP2,LOC105375615,LPIN1,ADM2
LINC02381,NUTM2A-AS1,LOC105375669,DIP2A,SYNDIG1
SERTM1,TMEM191B,LOC105375701,GSE1,ZNF702P
FLJ22447,PI4KAP1,SMILR,ACSBG1,GREB1L
PLEKHD1,RPS12P29,LOC105375740,SYT11,SEMA6D
ST20,PARGP1,LOC105375805,JMJD6,LRRTM4
LINC00664,LOC728554,LOC105375933,SYNE2,ATF7IP2
PRICKLE3,FABP5P7,LOC105375964,ARHGEF9,C3orf36
LOC400750,SLC35E2B,LOC105375967,TBC1D12,NR4A3
C1orf226,LOC728755,LOC105375980,ARC,FRAS1
PAIP2B,FAM182B,LOC105376001,TMEM131L,GOLGA2P10
LINC00960,SLC15A5,LOC105376014,COBL,FHOD3
HTATSF1P2,BMS1P4,LOC105376023,ATP11A,EFHC2
KLHL31,FABP5P2,LOC105376042,OTUD3,TRIM45
HACD4,STXBP5-AS1,LOC105376050,KAZN,HSD3B7
GOLGA7B,RGPD6,LOC105376059,MTCL1,GKAP1
LOC401875,LOC729603,LOC105376065,MCF2L,CXXC4
IGLON5,RGPD2,LOC105376095,DNMBP,ULBP1
IFITM10,SEC14L6,LOC105376196,WSCD1,AKNA
LRP2,RRN3P1,LOC105376204,ACSL6,MFAP5
LRP4,TYRP1,LOC105376220,ICOSLG,ITIH5
HAPLN4,VEGFC,LOC105376223,SATB2,APOL4
CTXN1,MPPED2,LOC105376224,SYNM,SETD7
LTBP1,WEE1,LOC105376235,AFF2,NPL
LY6E,WT1,LOC105376236,SMCHD1,AP3B2
LYN,XK,LOC105376268,DOCK9,ST8SIA2
TM4SF1,ZFX,LOC105376269,PSD3,SLC7A5
SMAD9,ZNF708,LOC105376272,ARHGEF12,SLC38A1
STS,CA2,LOC105376289,PPP1R13B,STMN4
MAP6,ZNF69,LOC105376297,ICE1,VOPP1
MARS,ZNF121,LOC105376322,SRGAP2,TRIM8
LINC00619,H2BFXP,LOC105376323,AHCYL2,LBH
MATN3,HAR1A,LOC105376369,ATP13A2,CAB39L
MCC,MKRN4P,LOC105376374,SEC61G,ST6GALNAC5
MAP3K4,ZNF135,LOC105376382,DAAM2,GDF5
MEST,ZNF137P,LOC105376392,TMEM131,CLTCL1
MFAP2,CACNA1A,LOC105376486,TTC9,PUDP
MGAT3,CACNA1B,LOC105376494,ZNF281,PNPLA4
MGST2,ZNF215,LOC105376536,FOS,TMEM187
CIITA,ZP3,LOC105376541,PIK3R5,DYSF
MICB,CACNB4,LOC105376571,CDC42EP4,ACOX2
ACHE,PVRIG,LOC105376577,DAPK2,FZD8
NR3C2,PRRG4,LOC105376626,PRND,CARS
MMP10,LINC00626,LOC105376684,CA14,EPPK1
MMP13,MMP28,LOC105376689,SELENOWP1,HIST1H3E
MMP15,IRX3,LOC105376722,KCNE4,HIST1H3B
C5orf17,IRX1,LOC105376752,FLRT2,SOX7
LINC00863,TMEM204,LOC105376872,ALOX5,TMEM47
ASNS,NEIL1,LOC105376878,ALOX5AP,CCDC3
FAM66C,LRRK1,LOC105376944,FJX1,HIST1H4E
CCDC144NL-AS1,NSUN7,LOC105376982,FRK,CD99L2
PLEKHM1P1,ZNF665,LOC105377003,ATP6V0D2,INHBE
ZNF506,TFPI2,LOC105377056,SLC17A8,ATG10
ZYG11A,AGMAT,LOC105377101,TRBV26OR9-2,PCDHB19P
HIST2H3PS2,ARHGEF5,FAM3D-AS1,NR5A2,SRPX
HIST2H2BF,THSD4,LOC105377123,FTH1P5,ANKRD20A1
MIAT,PODNL1,LOC105377211,FUT1,NBPF3
GUSBP5,PLBD1,LOC105377223,FUT4,C2orf16
FLJ46906,FAM110D,LOC105377224,ZNF620,LRRC8C
LOC441204,TNIP3,LOC105377227,SFTA3,MRI1
TYW1B,LINC00472,LOC105377325,CNIH2,PSD2
ANKRD20A3,SYNDIG1,LOC105377335,MIR9-3HG,LTBP4
ANKRD20A2,ZNF767P,LOC105377347,ZDHHC23,SYT3
TSPAN11,CEBPA-AS1,LOC105377378,GAB1,DYRK2
PRKXP1,LRRTM4,LOC105377412,ZNF718,ZNF512
RPS4XP7,FRAS1,LOC105377413,GABRA3,PHYHIPL
ASS1P1,CXXC4,LINC02485,PCSK9,KIAA1841
ZNF259P1,CCDC68,LINC02511,INAFM1,COL25A1
RFPL4B,WNT10A,LOC105377449,GABRB2,TPST2
RPS12P11,PABPC1L,LOC105377572,GLIPR1L1,KIRREL3
CITED1,FOSL1,LOC105377622,FRMD3,SLITRK2
MSI1,SRCIN1,LOC105377644,ARHGAP30,SLC9A7
ASS1,ITIH5,LOC105377659,GCSAM,LINC00260
MTTP,SPX,LOC105377806,MEIS3P2,DDX11L2
TRNY,HCG4B,LOC105377826,KIAA1549L,SEMA7A
ASS1P14,ALX1,LOC105377865,SHC2,CILP
TRIM37,DPF3,LOC105377887,QPCT,ATP1A1-AS1
MUT,CAMK4,LOC105377896,GALC,MFSD2A
ASTN1,APOLD1,LOC105377945,BACE2,SLC7A3
MYH7,TSSK3,LOC105378047,POU2F3,PRSS12
ATF4,PPP1R14C,MEAT6,MGAT4C,FIBCD1
NCAM2,ADAMTS10,LOC105378120,RAB26,UBASH3B
NCF2,NETO1,LOC105378138,PP7080,FAM86B1
NEFM,CAPG,LOC105378155,PARM1,TCEAL3
NEFL,PUDP,LOC105378159,MXRA5,ITGA10
NFIB,PNPLA4,LOC105378180,GALNT3,GAS7
NINJ2,DYSF,LOC105378189,HSPA12A,DDO
ATP1B2,HIST1H3E,LOC105378247,NECTIN3,MYLK2
NKX2-2,CASP4,LOC105378302,GAP43,RGS8
NKX6-1,HIST2H4A,LOC105378431,GAPDH,PIR
NNMT,SYT15,LOC105378488,EGFL6,LGR5
NOTCH1,SYT16,LOC105378524,PCDHGA12,YARS
NPY1R,SLC4A11,LOC105378526,OSBPL3,CASK
NPY2R,C3orf20,LOC105378550,IPCEF1,TMEFF1
NRCAM,EEA1,LOC105378576,CHD5,PLPP2
NTN3,KIAA1109,LOC105378580,SETBP1,STC2
GPX8,CMAHP,LOC105378605,MAGI3,CBFA2T3
OAS3,TBC1D3F,LOC105378678,PRSS33,HSD17B6
OCA2,RGPD5,LOC105378721,LRRTM2,CTNNAL1
OGN,LRRC8C,LOC105378728,AUTS2,TNFSF9
SIX6,BBOX1,LOC105378745,ARHGEF26,ADAM15
G0S2,RNF135,LOC105378756,ABHD12,RIPK2
ARHGEF3,EFCAB2,LRRC53,TANC2,PSPHP1
CNTN3,THOC3,LOC105378808,TES,RGS9
PAPPA,CAVIN2,LOC105378841,ZBTB20,CPNE1
PAX3,C2orf40,LOC105378853,KIF26A,AP1G2
AK3,COL25A1,LOC105378862,GARS,CACNA1H
C6orf48,ZNF594,LOC105378929,PITPNC1,TRIM4
PARD6A,TTBK1,LOC105378947,GAS8,SKAP2
STMN3,GLIS2,LOC105379005,FBXL21,CHRFAM7A
PC,HES7,LOC105379117,PHGDH,SEC16B
PCDH7,ZNF347,SEMA6A-AS2,TIAM2,BTBD6
PCDH8,CARD6,LOC105379133,GATA2,KLHL13
PCK2,ACCS,LOC105379175,SACS,ZNF835
LEF1,FAM71F1,LOC105379194,GATM,GPRC5A
TCEAL9,CAT,LOC105379195,GBP3,ZNF439
PLCE1,BEX2,LOC105379243,HSPB8,PAPSS2
PCSK1,LINC00260,LOC105379252,NUPR1,ANGPTL1
PBDC1,DDX11L2,LOC105379257,RGS17,CLDN1
KCNK9,PYROXD2,LOC105379263,MSTN,TCEAL8
REEP2,FCRLA,LOC105379345,MDGA1,TBX18
SPTBN5,CILP,LOC105379377,RGL4,KRT75
THEM6,SLC7A3,LOC105379392,GFAP,RRP7BP
PDE2A,PRSS12,LOC105379448,SNORD56,LPAR2
ZNF107,UBASH3B,LOC105379477,SNORD45B,ZNF804A
RHCG,PPFIA2,LOC105379490,CYFIP2,REPS2
PDGFA,URB1-AS1,CH507-145C22.1,TPK1,TPGS1
ACKR4,RERG,LOC105379752,BEX3,DAPL1
LSR,DGKE,PROCR,GJA5,ATP6AP1L
STYXL1,COL27A1,PRDX4,GJB2,MSC
FKBP7,MYLK2,AGPAT2,LAMP3,CHMP4C
TPPP3,KIAA1656,SLC19A2,B3GAT1,DHRS3
GPRC5B,RIMBP3,IFI44,CACNG5,RPS4XP2
SYT17,LGR5,AKAP3,GK,CENPBD1
ATP8A2,INE1,RABAC1,HSPB7,MED14
PENK,RGS20,SLC34A2,KCNH5,GPR37L1
TUBA8,PLA2G4C,CCEPR,CIDEB,ADGRG1
PGK1P1,CADPS,MRPL28,PALD1,PTER
PHKA2,CBFA2T3,CCT7,FAM184B,TCEAL1
SERPINA1,HSD17B6,NPC2,CPAMD8,SLC9A3R2
SERPINI1,UNC5C,COLEC10,SALL3,MYOCD
PITX3,AKR1C3,MAB21L2,GPC3,MUC16
PKP1,CHRD,TXNRD2,SULT1C4,LRRC4B
PLCG2,B3GALT1,DRAP1,GPR162,SYTL5
ATP6V1G2,TNFRSF25,CENPC,CNTN6,TJP2
PLSCR1,ADAM23,P3H4,SMPDL3B,CYP7B1
PMAIP1,ACTN2,PDLIM5,RBMS3,ECEL1
PNOC,KSR1,RBCK1,ZNF330,CHST2
FXYD6,APLN,CENPE,GLDC,HOMER2
FXYD5,SYNJ2,MYL12A,GLDCP1,AKAP6
MYO3A,AP1S2,TXNIP,TOX3,SLC25A27
SLCO1C1,LIMD1,TAF6L,TNRC6A,SLC4A7
RIMKLBP1,BRSK2,CENPF,PCDH11X,MAGED1
CLIC6,ZNF835,PDPN,PCSK1N,GABBR2
GSAP,SCRN2,POSTN,GLI2,SOX13
GPR88,GPRC5A,ATP5L,GLI3,MORF4L2
POLA1,ZNF439,RAD51AP1,GLRA2,CD70
GPR85,STARD13,CAMKK2,GLRB,IP6K1
NLGN3,CLDN6,RNU6-5P,PCLO,SLC35E2
SEMA5B,CLDN1,RNU6-3P,GNG3,ARNT2
MOV10L1,TBX18,RN7SL381P,GNG4,REC8
EPB41L4A-AS2,GUSBP11,RN7SL535P,GPM6A,CDH1
POU2F2,ZNF502,RN7SL585P,GPM6B,
DDIT4,SLFN11,RN7SL608P,LINC00515,
NECAB2,IDI2,RN7SL481P,RBM20,
HES2,NEK9,RN7SL573P,ANG,
PCDHB18P,CHRDL1,RN7SL689P,LOC283028,
PCDHB17P,ZBED1,MTX2,MIR4697HG,
GTPBP2,ZNF300,SPINT2,KLHL35,
RAB39A,MYOZ3,KHDRBS3,CRACR2B,
XAF1,CD4,CELF2,OTOGL,
IL17RD,DCLK1,MIR34AHG,LINC00346,
FAM20A,ZNF585B,SNORD143,GPR137C,
DIRAS2,TMEM132C,SNORA92,FAM181A-AS1,
TRPM4,CHMP4C,SNORD141B,TSSK4,
DCHS2,DHRS3,LINC00680,PRTG,
NUP62CL,GPR37L1,CGREF1,HERC2P3,
GDPD2,SOCS6,RRAGA,LINC00928,
RPP25,NEURL3,PCF11-AS1,FBXL22,
RNF125,TCEAL1,CSPG5,BRICD5,
1-Mar,LHX2,AVIL,CLEC18C,
PHIP,ITGBL1,CLDN16,LINC00685,
SUSD4,CADPS2,PNMA2,TTLL6,
NBDY,HTRA3,FUT9,GPR18,
PPP1R3C,ARHGAP29,DUSP8P5,ENDOV,
CRTAC1,HOMER2,RRH,LAMA1,
ARMC4,HAND2,CORIN,ZIK1,
FAM90A1,SH3BP5,ADCY1,ZNF776,
P3H2,CD34,SEPT14P19,ZSCAN1,
OLAH,SLC4A7,SEPT14P5,ZNF283,
RFK,ADAMTS3,SEPT14P11,GPR21,
CPPED1,CD38,SEPT14P15,TMEM150B,
CHDH,GABBR2,SEPT14P18,NWD1,
SLC22A15,AKAP12,SEPT14P20,ZNF493,
TBC1D2,RGS6,POLD3,OR2L13,
NPY4R,GNA14,CERS1,LOC284561,
ZNF331,RIMS2,CFL1,LOC284620,
LINC00862,FAM131B,POLQ,SPATA46,
SRGN,CD74,SLC12A7,ESPNP,
SOX6,GPRIN2,CFL2,LINC00323,
ENOSF1,FRMPD4,PLK4,LINC00319,
MIOX,RAPGEF5,STAG3,LOC284950,
NLRP2,RNF144A,SIX2,LINC01114,
PKIB,SLC35E2,RFPL2,ANGPT2,
IPO9,,CFL1P5,DLL1,
HHAT,,RFPL1S,ERICH2,
CNDP2,,RAI2,IAH1,
H2AFJ,,MASP2,FLJ33534,
MCTP2,,KLRA1P,ZNF621,
MBNL3,,GRAP,IGSF10,
PRKCE,,CHL1,ZNF660,
DOK5,,GIPC1,DCAF4L1,
GSDMB,,NES,CYP4V2,
PRKCQ,,PLK2,LOC285500,
PRKDC,,SRSF10,GPRIN3,
PRKG2,,ZNF234,FRYL,
MAPK4,,ZNF266,FAM200B,
3-Sep,,ZNF274,ZNF454,
PDGFC,,NEK6,DCBLD1,
PCDHGB5,,IQGAP2,HCG22,
PCDHGB3,,ZNF273,HOXA-AS2,
PCDHGA9,,ZNF460,INHBA-AS1,
PCDHGA3,,ZNF268,SNHG15,
PCDHGA2,,MTHFD2,ZNF789,
PCDHB15,,LOC107983950,ANK1,
PCDHB12,,107983953,FAM83H,
PCDHB11,,LOC107983974,NKAIN3,
PCDHB8,,LOC107983979,C9orf47,
PCDHB7,,LOC107983990,FAM78A,
PCDHB6,,LOC107983995,ATP11C,
PCDHB4,,LOC107983996,LINC00632,
PCDHA7,,LOC107983997,FAM133A,
C21orf62,,LOC107983998,GRK5,
PRPH,,LOC107984026,GRB10,
PRRG1,,LOC107984035,GRB14,
DNAJC12,,LOC107984042,GRIA4,
PSD,,LOC107984079,TRIB2,
ASAH2,,LOC107984110,REM1,
DPYSL5,,MIR583HG,SLC6A16,
SPIRE1,,LOC107984122,FLVCR1,
SMCO4,,LOC107984128,GRIK3,
CEACAM19,,LOC107984138,MACROD1,
STOX2,,LOC107984214,HIPK2,
CHPT1,,LOC107984224,KLF15,
GSN-AS1,,LOC107984244,GRIN2A,
LPAR5,,LOC107984269,GRIN2B,
MAN1C1,,LOC107984275,LINC00652,
TMEM159,,LOC107984285,DNAJC15,
JPH2,,LOC107984305,GRM1,
PELI2,,LOC107984328,DDX25,
ACTR3B,,LOC107984334,GRM3,
NHSL1,,LOC107984339,GRPR,
PTGIS,,LOC107984357,GSN,
DUSP5P1,,LOC107984370,GSTM3,
ABHD6,,LOC107984398,GSTT2,
NDRG2,,LOC107984413,GTF2IP1,
TENM2,,LOC107984457,PACSIN3,
GALNT16,,LOC107984459,CYP2S1,
SHROOM4,,LOC107984461,GUCA1B,
AHRR,,LOC107984485,PURG,
SRGAP1,,LOC107984583,PADI1,
RTL9,,LOC107984585,DMGDH,
KIAA1324,,LOC107984648,PSAT1,
NCEH1,,LOC107984741,SCHIP1,
SEMA6A,,LOC107984754,UBQLN2,
SIPA1L2,,LOC107984763,NRBF2,
PCDH10,,LOC107984777,LMCD1,
PREX1,,LOC107984837,ANXA2,
PDZD4,,LOC107984858,ANXA2P1,
BEGAIN,,LOC107984910,HAS3,
ZNF492,,LOC107984936,ANXA2P2,
STIM2,,LOC107984938,HCCS,
DPP10,,LOC107984948,HCK,
CCDC146,,LOC107984974,HDC,
PTN,,LOC107984986,HELLS,
CAMSAP3,,LOC107984988,HUNK,
SLC7A14,,LOC107985003,SOX8,
PPP4R4,,LOC107985030,KCNIP1,
PTPN3,,LOC107985031,ZNF354C,
TRIB3,,LOC107985064,HIC1,
ZP4,,LOC107985088,HLA-A,
SLC4A5,,LOC107985120,HLA-DMA,
PTPRB,,LOC107985230,HLA-DMB,
PTPRR,,LOC107985250,HLA-DOA,
PTPRZ1,,LOC107985275,HLA-DQB2,
PYCR1,,LOC107985276,HLA-DRA,
PCYT2,,LOC107985295,HLA-DRB1,
RHOU,,LOC107985303,HLA-DRB5,
PCTP,,LOC107985305,AOAH,
MYL7,,LINC01705,HLA-H,
MID1IP1,,LOC107985320,HMGB3,
RAB3B,,LOC107985338,HMX2,
RAC2,,LOC107985350,APAF1,
BCHE,,LOC107985395,NOP14-AS1,
ENPP5,,LOC107985400,DHRS4L2,
RAP1GAP,,LOC107985403,C14orf39,
RASGRF2,,LOC107985405,HOXA1,
EVA1C,,LOC107985469,APBA1,
RXFP1,,LOC107985474,APBA2,
LGR6,,LOC107985481,HOXB9,
PRPH2,,LOC107985487,HOXC4,
BCL2A1,,LOC107985495,HOXC5,
RGS16,,LOC107985497,HOXC6,
RHCE,,LOC107985502,HOXC8,
RNASE4,,LOC107985532,APC,
BACH2,,LOC107985558,ZAR1,
ALX4,,LOC107985559,MORF4L1P2,
GAS5,,LOC107985588,RAB37,
PAPPA2,,LOC107985664,MMAB,
CELF5,,LOC107985675,HRH2,
ROM1,,LOC107985715,HSPA2,
ROS1,,LOC107985716,HSPB1,
RPGR,,LOC107985728,HSP90AA3P,
BDH1,,LOC107985731,APLP1,
SALL1,,LOC107985733,HTR1D,
SLC22A23,,LOC107985736,UBAC2,
SCN5A,,LOC107985742,ICAM1,
SCN7A,,LOC107985782,MESTP1,
SCN9A,,LOC107985783,LINC01252,
SCNN1G,,LINC01956,ZNF546,
BHMT,,LOC107985860,ZNF678,
CCL5,,LOC107985869,LINC01139,
PIEZO2,,LOC107985885,ZFP69,
TNN,,LOC107985897,NAT8L,
GPSM3,,LOC107985901,PRR7-AS1,
DMRTA2,,LOC107985908,TMEM173,
NEUROG2,,LOC107985911,IQCB2P,
SECTM1,,LOC107985912,ZNF680,
SELL,,LOC107985921,LOC340268,
PRSS22,,LOC107985927,ASS1P11,
PERP,,LINC01965,NEXMIF,
SLC28A3,,LOC107985939,BEX5,
RBKS,,LOC107985942,TCEAL5,
SNX16,,LOC107985944,ZC3H12B,
EPB41L4A,,LOC107985946,LHFPL1,
LRRC4,,LOC107985977,NANOS1,
XYLT2,,LOC107986022,HMX3,
ACOT1,,LOC107986058,OTOG,
ERAP2,,LOC107986063,ASS1P13,
ECSCR,,LOC107986064,SYT10,
P3H1,,LOC107986078,FREM2,
POPDC3,,LOC107986079,ZNF850,
FAM110C,,LOC107986102,PALM3,
BMS1P15,,LOC107986113,NCKAP5,
SFRP5,,LOC107986119,KRT8P10,
NPIPA3,,LOC107986126,CDKL4,
NPIPA2,,LOC107986139,KRT18P39,
ZNF487,,LOC107986159,ZNF860,
FAM196A,,LOC107986160,KRT18P17,
